scenario,CountryCode,vkm_petrol_Carpassenger,vkm_diesel_Carpassenger,vkm_hgv_Freight,Total_IWW_TonKM,PersonKM_RailPassenger,TonKM_RailFreight
3,AL,2196808800.8316455,543429601.8940557,777380836.8272815,,129906616.92403737,595867453.731692
3,AT,43081529078.762924,27052691422.767376,6893315982.929858,7108374045.10353,15853649587.623133,24733345296.648396
3,BA,5033832566.290741,1234985844.7754455,836885815.6717677,738101302.2160373,595380088.8336971,1207209012.3992927
3,BE,42898941283.879524,32558381575.70394,8405994240.897546,9592996583.538927,14211939516.751545,9798275370.453827
3,BG,27974433263.52072,6837164245.50551,3836805965.016423,2101300690.6008568,16994357787.634531,23023246915.771374
3,BY,19221631199.428574,4633808641.2354555,10393892624.227083,,7849245694.871419,26785335096.94794
3,CH,39951837848.50333,5714621392.8850975,3643116215.426975,38968966.02640099,11675363255.985653,11556336513.902203
3,CZ,31712626956.41499,6886600609.260594,8559018717.865456,45312064.65495255,9354295459.581762,35386965248.111496
3,DE,379904398369.2846,88652140828.26921,46526008021.47188,75691149306.88528,115062884535.46898,110050350555.76979
3,DK,37273002140.904686,3867845537.681295,7248381093.879683,,6390315972.441661,3394327911.3803945
3,EE,3351661607.8680534,608647147.8515656,1820572283.4689083,,293593282.39334625,30975793754.646786
3,ES,176223054455.13245,94529608693.1904,48203557977.112335,,29515533199.84576,24325202648.937115
3,FI,29640250654.467518,4324957131.023071,5652312040.182061,,7687326410.132383,22102750659.886677
3,FR,245382583519.28516,167761269699.4919,44057095178.45805,12024907669.3938,95276800450.10098,55835126220.37421
3,GR,27395376167.393543,6783103999.493368,6286905867.372718,,2951654244.8837457,1429850369.2602596
3,HR,22451778292.57489,5579742989.414436,2673387417.2067976,311630104.95039654,9183106859.050507,7472964546.592826
3,HU,29541265070.01501,6070467652.611079,5397465566.170657,11185384235.315866,15412763735.209229,23885235911.495586
3,IE,27587881428.42983,4773948676.768243,4870152613.886382,,1944777757.4964507,655482784.4758186
3,IT,211630991304.86002,55797318112.56605,36816683739.81088,,51046831188.69389,35872177526.13376
3,LI,80140226.85848296,23860523.92205024,17545238.93945709,,12920026.184083525,26707818.904982604
3,LT,8531498142.40346,2032899821.812134,4631451508.126046,1945882.943965785,13140520973.732237,37041169759.84743
3,LU,5550897552.253935,2629980593.199861,904568163.4317563,,158377306.1701631,577806065.7605284
3,LV,7217676722.754313,1436564872.0100992,2613883032.228983,3057704.2583619663,8055181415.6453495,50228338790.53404
3,MD,5600701198.767875,1382546684.8907924,1616683137.591161,,1411148760.4920106,3474594400.898876
3,ME,1518646286.4891148,375593387.28884023,189278812.78652,,137968686.08476096,1899752856.9925585
3,MK,4797502587.539343,1188284516.2016675,1354958531.1468,,742112606.39955,414908048.9758991
3,NL,95261648791.01791,19258379013.06489,10291088416.87231,39739905125.09032,12553051550.06952,6604267691.910164
3,NO,40231329022.34682,9405191101.825994,3859618513.107978,,4532867452.360184,4757906578.103448
3,PL,96027664257.49734,18888235484.00738,30153684538.44956,882925221.2618668,54052476823.85496,131693649663.74232
3,PT,37350865238.97838,9773658005.877733,6720933546.640827,,4807140554.417647,4655953118.039927
3,RO,38574657578.65717,9426006553.5723,13980389400.835577,21611515269.57269,11339875175.805685,57900334946.00955
3,RU,158038619790.03442,38778141692.38819,90415071091.6684,,105883519426.3008,232860630487.43387
3,SE,57504789152.59133,4481038604.502129,8391272896.397118,,17968087362.296097,35596191026.55257
3,SI,11791054301.752363,3085717272.423494,2334325096.2612624,,5751206982.610841,10005951478.46482
3,SK,12764546311.734943,3093282814.317893,4063975459.6638184,706396968.1569792,2522653786.590456,23516769050.838284
3,TR,114048450391.59477,27967799862.07127,11224574312.300936,,50424347693.10046,13375559751.252161
3,UA,73922497017.01703,18017009520.713833,22538876945.390244,,35522405977.08535,77259696913.97655
3,UK,330725020091.008,75120280680.86954,26293027661.864418,326381745.08323103,48573325723.649666,37368608786.72598
3,YU,20553488721.83573,5025713519.086996,2139588508.517628,13216092377.388527,20579530343.181335,9297838870.764172
