scenario,CountryCode,vkm_petrol_Carpassenger,vkm_diesel_Carpassenger,vkm_hgv_Freight,Total_IWW_TonKM,PersonKM_RailPassenger,TonKM_RailFreight
20,AL,2198439071.9005394,543833076.1949507,776967636.3253499,,129108855.19545369,595653810.4528655
20,AT,43072803457.433846,27048198472.432785,6903325043.529101,7109024669.099757,15855108085.802519,24655094555.43218
20,BA,5031169234.793915,1234270463.6406825,847391279.5982696,738297096.1020721,596333519.882837,1206508936.041084
20,BE,42856913984.62256,32550294234.60654,8402653260.001709,9590289498.12833,14268905224.156975,9792572402.93051
20,BG,27958592625.9481,6831054053.076184,3843304357.627101,2101833602.080622,16983937870.221241,23021909598.9345
20,BY,19178788222.306404,4622217265.290051,10390907172.471075,,7623776458.230799,26883411992.404163
20,CH,39946027088.782135,5712395304.293082,3637148911.174998,38947140.87238371,11671671375.172981,11565109289.356644
20,CZ,31719427274.65955,6887339446.371845,8552403042.42396,45307990.46960309,9353852641.891369,35387247981.81742
20,DE,380547953347.1717,88804421249.71217,46520622754.28389,75688714872.38625,115310369043.95262,110195454357.05142
20,DK,37209608336.38203,3855261293.9446836,7227781645.117197,,6401067703.00578,3394568239.764438
20,EE,3359650205.271512,610209369.6811297,1823792894.6841385,,288723847.50363415,30960109499.868393
20,ES,176204679165.68976,94518309566.48912,48194093344.517365,,29387021583.66319,24319153224.84477
20,FI,29648411414.78829,4327906243.4930725,5652162265.590511,,7651917580.59445,22109886359.25733
20,FR,245176036167.86215,167707502377.84665,44054118189.69952,12024397272.463543,95000635756.95149,55835510546.97977
20,GR,27379962013.77768,6778913775.1433325,6278676122.719414,,2885611110.918756,1428709710.470361
20,HR,22440990711.61869,5576236089.805658,2673452169.811408,311714942.4060025,9102901451.34905,7484820391.981653
20,HU,29565627903.330235,6072255778.667234,5396925896.756807,11187887843.27533,15442299637.78329,23892854724.180683
20,IE,27580504300.792057,4772747296.038578,4867148508.56042,,1939448864.2028441,655306567.3497992
20,IT,211571257606.8542,55779429540.08527,36797035864.75525,,50959584916.11177,35874997055.23642
20,LI,79704290.16069552,23652934.629888102,17998676.6322795,,12802203.389921712,26258765.941163924
20,LT,8533080734.929457,2032562761.6591828,4645864743.802523,1945882.943965785,13197104134.337042,36941401583.89909
20,LU,5545996177.982754,2630067115.3312917,903295923.7300109,,157972069.07196063,572218942.634155
20,LV,7235122096.732406,1440617703.6542776,2611143028.653382,3057704.2583619663,8094813429.608787,50269312049.583435
20,MD,5616813645.502661,1386116151.3270187,1616450823.8775861,,1412000551.2901535,3466435833.950642
20,ME,1518795209.1472244,375628291.10210514,188852259.9296002,,137426713.62653938,1899403109.3884192
20,MK,4798490579.0414,1188500118.9877517,1355754136.4145508,,720099425.3221132,414945337.4520875
20,NL,95192415805.85638,19240807528.64486,10286687260.167814,39746521066.22548,12491071343.169981,6604105372.2834835
20,NO,40205801731.85195,9400667135.91935,3859545199.713053,,4526230759.283772,4757699812.495326
20,PL,96015627688.62257,18884158666.847286,30165011287.82317,882331408.5623816,54203748681.759186,131588849074.978
20,PT,37368953364.483734,9777624113.654806,6719139946.420086,,4702779420.438446,4656624536.892008
20,RO,38568492147.39149,9421837497.084793,13980216770.270544,21616964527.048206,11331978206.500418,57841726596.2153
20,RU,158383337745.55054,38860493579.49293,90432340488.3878,,105836031322.55501,232856283374.45154
20,SE,57489635653.99606,4477540271.351148,8439553970.403308,,17939362949.718613,35588687177.82995
20,SI,11791429488.284958,3088373367.2350693,2326231112.383135,,5699131670.635291,10036757884.794561
20,SK,12744239748.604572,3088330789.029394,4071094475.0497766,706480136.7343081,2509385992.2754774,23566206713.76698
20,TR,114171829809.08235,27993542064.50487,11222236761.801172,,50421964444.18953,13377590847.772758
20,UA,73900689075.33464,18010624232.74016,22514680679.027718,,35852936942.16481,77284252600.55302
20,UK,330819005838.9229,75142061995.86153,26292022076.480774,326389306.44992256,48626456904.22568,37367138966.94865
20,YU,20538781181.456318,5021586314.117157,2145717236.8032353,13219737379.889503,20510154940.27355,9328900476.10294
