scenario,CountryCode,vkm_petrol_Carpassenger,vkm_diesel_Carpassenger,vkm_hgv_Freight,Total_IWW_TonKM,PersonKM_RailPassenger,TonKM_RailFreight
18,AL,2195614708.037549,543152385.7218845,776842161.5703672,,128915923.73298489,595719865.0625901
18,AT,43050141619.52994,27043005117.10071,6904652501.049045,7113737482.067172,15981818132.813944,24827695070.488873
18,BA,5017200790.60742,1231114928.3157673,831417312.3251963,745757553.4410434,604639332.3305984,1207663506.2597709
18,BE,42854572842.080154,32550789526.56329,8406548077.827139,9589256503.905725,14431116887.894684,9809574098.516043
18,BG,27913535562.847237,6824993329.447716,3829628476.167318,2103867082.55277,17167440108.090347,23021706424.742443
18,BY,19108170560.276978,4608676229.919288,10417289999.341604,,7670781876.6803255,26759626760.470856
18,CH,39940785480.60132,5716043677.356972,3639693678.006027,38941248.42667334,11697913673.406548,11541841130.347647
18,CZ,31720277736.924397,6891018641.09327,8553117503.330863,45307735.81435397,9797768422.710615,35408072015.81079
18,DE,379630296132.61707,88620139019.89131,46527512477.74,75713857642.9661,118173193275.18127,109587128483.28975
18,DK,37044288318.70256,3844516873.9294987,7263947997.525105,,7546094012.913857,4033690945.901471
18,EE,3331745582.9146595,604940282.4502656,1819743255.2260015,,293258128.7915564,30945251069.332485
18,ES,176195751551.7339,94517429817.53888,48183760878.3121,,29657766664.14087,24313187780.352474
18,FI,29507807399.928516,4305688661.651397,5656773529.253628,,7629436355.6458025,22140296037.51314
18,FR,245358576476.73703,167762537972.1546,44055770668.38453,12023670934.18363,95639743887.1923,55803694949.70599
18,GR,27389714465.040592,6781318699.732583,6303083435.811992,,2991246596.583797,1427293951.4074917
18,HR,22415365943.314053,5570480284.388992,2663058476.648227,314952244.43882346,9123925247.10074,7489654384.367299
18,HU,29550110253.58921,6074368933.405269,5394814834.127836,11193969534.081602,15829424173.121244,23839100542.52694
18,IE,27572346466.681362,4771141786.893625,4868038086.666445,,1949137831.2989278,655440611.4104779
18,IT,211476565383.3247,55751141461.21901,36814111597.063866,,51143746223.37474,35736246494.69988
18,LI,80226143.11672355,23688911.827758297,17912009.28687458,,12955243.08681581,28650358.892983034
18,LT,8501736089.751903,2027456426.0640545,4645136476.487741,1945882.943965785,13250520768.370176,36944674951.796844
18,LU,5550829835.318587,2630392347.0250936,902016542.5947586,,158616302.63403082,575285328.2271581
18,LV,7208227739.81844,1435403857.2137794,2611791510.9177117,3057704.2583619663,8107016860.600627,50313683188.77224
18,MD,5599294814.023065,1382293393.543695,1617528071.5319645,,1412289560.151931,3462623507.276467
18,ME,1518276441.8563876,375512875.45507056,189394099.34116578,,138473445.86843842,1899736613.7452948
18,MK,4793320691.286064,1187300031.5094848,1355427920.0384543,,762005448.9607779,414920932.29655945
18,NL,95214823288.02261,19247924724.507835,10287327271.018616,39740943725.92491,12636890590.41648,6604736179.228293
18,NO,40174611568.409386,9398017670.259733,3856841870.305739,,5457312685.08488,4758570220.466098
18,PL,95897158212.16682,18867803854.284206,30158649110.273746,881635615.2548095,54523317691.90814,131538157241.672
18,PT,37354776984.44236,9774650408.096964,6719833010.558535,,4751624646.067052,4655488745.301473
18,RO,38512545782.172104,9413107002.43459,13978561043.808855,21638932506.279335,11425435908.167316,57876033895.92775
18,RU,158017894686.0979,38775666271.65471,90478849447.7758,,105814254092.87672,232827612019.8267
18,SE,57048215445.261795,4438193212.0372095,8363718720.177751,,20524734406.906734,35111247594.33103
18,SI,11786522351.545198,3086830151.2125716,2326319333.9875307,,5731852386.406449,9994899317.240217
18,SK,12740193643.448185,3089198908.2706304,4072365952.585569,706947431.9630474,2618515387.579511,23560448100.94632
18,TR,114010232484.80708,27964496341.727165,11224748877.961935,,50965875096.1127,13376003885.80092
18,UA,73846149021.29066,18001268839.57285,22528714136.970394,,35846394569.268456,77291627868.14455
18,UK,330443085044.6777,75055482169.88287,26286504207.272842,326387905.2913946,48795116433.3024,37378651097.78019
18,YU,20515310450.941105,5017640726.187756,2131902577.540196,13228717008.10779,20943726433.845325,9316294921.934464
