scenario,CountryCode,vkm_petrol_Carpassenger,vkm_diesel_Carpassenger,vkm_hgv_Freight,Total_IWW_TonKM,PersonKM_RailPassenger,TonKM_RailFreight
11,AL,2195292325.49789,543054709.4406586,777549155.3327972,,127260816.99837697,595539754.6906452
11,AT,43136942230.297745,27061797355.17857,6895844186.731881,7122581226.528738,15812472171.722342,24892008824.65973
11,BA,5020835079.582866,1231623229.4418738,835414918.9588609,737006373.3947564,595370518.2459922,1208297944.7106233
11,BE,42900181735.20437,32564870125.50851,8403356637.312806,9586663889.170021,14172403750.021204,9793544238.385874
11,BG,27912272572.743134,6820973023.336484,3815867450.843978,2105361025.9516249,16814620615.962475,22954433784.155037
11,BY,19186970378.1935,4625700424.9768305,10382618771.631996,,7690792434.164662,26772013555.127792
11,CH,39949143490.08604,5713849278.032128,3640129810.6305017,38970327.61646449,11676565191.740923,11517717659.103977
11,CZ,31782632087.207844,6901440818.122871,8567981235.001066,45382939.01420818,9329842010.560724,35488539090.39301
11,DE,380187274319.1752,88716796600.7019,46530795258.07252,75748658434.15642,114785538680.65332,109872960016.71317
11,DK,37281022687.563065,3870858760.8663926,7190319148.857394,,6378293286.560561,3394392001.013394
11,EE,3360887697.8869634,610568785.2506256,1816701251.1960442,,287782649.7521018,30954908649.98893
11,ES,176165438184.82974,94486143317.13332,48203326397.92343,,29381168643.81947,24316222003.19493
11,FI,29626761586.38433,4323010337.993458,5649348358.906879,,7644838583.54787,22110384855.361965
11,FR,245419628952.21912,167767274482.1712,44065428502.59165,12024249170.778162,94962925648.79431,55787856553.32283
11,GR,27424818473.24018,6789787432.04484,6291214633.699122,,2927982506.52369,1428444897.239841
11,HR,22438629017.853874,5575556369.388683,2665140905.60832,311158796.5718041,9071452179.00935,6984754420.473099
11,HU,29850715053.203495,6139907751.211142,5427592155.176641,11202765799.33122,15368381189.259995,24713424874.610012
11,IE,27603529130.536232,4776353715.76108,4867069257.38078,,1944080660.6810062,655185364.1382841
11,IT,211727229831.2472,55802221721.60042,36808182640.92575,,50847621773.73438,35696128481.32155
11,LI,80336870.63559534,23742769.753163517,18004969.831343655,,12948428.574674565,29348292.844417438
11,LT,8519082901.875304,2030327023.090202,4619708418.091004,1945882.943965785,13154796991.930937,36926461278.608574
11,LU,5549035152.60679,2629892542.8978877,903050849.1788728,,158130065.07395375,577384966.8528622
11,LV,7228197178.330869,1439253502.3079867,2596944686.253747,3057704.2583619663,8059321825.377655,50363318151.1275
11,MD,5586047219.886216,1378831970.9997392,1612675910.2591174,,1411535594.9334798,3488879542.7611375
11,ME,1517699925.3202088,375363585.7363233,189095870.0343889,,135324340.3730179,1899322770.1820965
11,MK,4792449244.344165,1187052225.0499136,1354815818.518491,,732903599.2161158,414534428.90481186
11,NL,95268365036.84207,19259017381.68947,10288947656.23737,39748102183.262375,12572680028.4118,6586247505.152906
11,NO,40157612093.44339,9392470853.678133,3862857393.231386,,4506628189.512443,4757644315.334703
11,PL,96135173297.39195,18905603632.740406,30155418626.56624,882794926.3788968,53757854779.77994,131516053656.5865
11,PT,37351839352.19519,9774186137.887423,6720912397.401386,,4698923996.114573,4656438672.633034
11,RO,39508867580.64568,9630182624.402027,13970977625.693829,21653365843.493168,11478180420.286692,58345921480.25435
11,RU,158061649240.92,38781255235.481094,90600627894.83124,,105491843997.17155,232771335021.19727
11,SE,57574911990.86437,4501110548.262002,8478573923.45868,,17904057515.682983,35571167583.61198
11,SI,11798256385.120348,3087029965.4005914,2328222019.8714523,,5663474772.006201,10065021579.25719
11,SK,12862442428.761158,3111574959.6275077,4075633067.60799,705979119.3722861,2511420605.1175356,23606516555.019245
11,TR,114409532682.28683,28046891023.016647,11227403597.883121,,49998576568.31739,13363519264.963797
11,UA,73701984479.08818,17963723830.076183,22521161512.442093,,35491967169.01738,77134355301.80353
11,UK,330681084869.57764,75111246257.26653,26286199221.28167,326354396.86853594,48577618451.80381,37342824268.11981
11,YU,20088499984.100803,4924990323.862239,2099421357.900322,13246604246.236357,20296126874.036625,8851048053.655819
